o_cbg,d_cbg,flow_w,Predict_flow
270530235024.0,270530237001.0,2.0,0.0
271230318023.0,271630709092.0,2.0,0.0
270370607291.0,270370607322.0,2.0,0.0
270539800001.0,271230429001.0,2.0,0.0
270370607351.0,270370607271.0,5.0,0.0
270030502301.0,270030502331.0,7.0,0.0
270530267071.0,270530268204.0,3.0,0.0
270530239033.0,270530260073.0,2.0,0.0
271230317023.0,271230311001.0,2.0,0.0
271230413021.0,271630710103.0,5.0,0.0
270030513051.0,270030512011.0,2.0,0.0
270530269081.0,270530269063.0,2.0,0.0
270530269092.0,270030502082.0,4.0,0.0
270530216012.0,270530267105.0,2.0,0.0
270530260192.0,270190905011.0,3.0,0.0
270030502211.0,270030502251.0,2.0,0.0
270530077002.0,270530083002.0,2.0,0.0
270190904012.0,270190907013.0,5.0,0.0
270370607391.0,270370607102.0,10.0,0.0
270190909004.0,270190909003.0,5.0,2.0
270530251002.0,271230413021.0,2.0,0.0
270530252013.0,270190905011.0,2.0,0.0
271230405031.0,271230406012.0,4.0,8.0
270530267081.0,270530269101.0,2.0,0.0
270530204001.0,270530216022.0,2.0,0.0
271230307043.0,271230331002.0,2.0,0.0
270530229014.0,270530272013.0,2.0,0.0
270530267104.0,270030502261.0,2.0,0.0
270030502292.0,270030508161.0,6.0,0.0
270030504011.0,270030502281.0,7.0,0.0
270370601041.0,270370605092.0,3.0,0.0
270370607342.0,270370607251.0,2.0,0.0
270370603011.0,270370605022.0,3.0,0.0
270530267104.0,270530269101.0,3.0,0.0
271230424012.0,271230425011.0,4.0,0.0
270370605071.0,270370609071.0,2.0,0.0
270190906011.0,270190910004.0,7.0,0.0
271630711022.0,271630710103.0,2.0,0.0
270530260202.0,271390808001.0,2.0,0.0
270530243002.0,270530246002.0,2.0,0.0
270530253023.0,270530253021.0,2.0,0.0
270530260192.0,270190903021.0,2.0,0.0
270530260201.0,271630705011.0,2.0,0.0
270030507104.0,270030506051.0,2.0,0.0
270030502252.0,270030502261.0,3.0,0.0
